,사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
17,202203,2호선,당산,24,2,5563,2438,14720,10609,40725,25587,49263,65597,28450,31014,19963,15536,19042,15272,20156,17606,20802,19816,18972,18905,20205,21870,23366,26968,35938,38255,52460,63932,22440,42900,16057,25820,15749,24796,14637,22816,6059,18129,11,751,0,0,0,0,0,0,20220403
18,202203,2호선,대림(구로구청),515,17,30699,3071,29158,9796,58251,20913,82037,50067,53312,29075,30242,24005,25366,24188,28509,24987,27626,26846,25504,26745,26348,33910,29770,40248,36413,53495,45989,62841,22820,47625,15017,32473,11531,39193,8639,38380,3538,20310,10,907,1,0,0,1,0,0,20220403
19,202203,2호선,도림천,0,0,278,325,1095,720,2959,4851,3024,5436,1739,2069,1731,1321,1427,1112,2315,1820,1609,1211,1912,1650,2309,1393,3446,1675,2698,1949,3417,2609,1741,2319,633,1408,853,1184,345,1048,142,848,1,51,0,0,0,0,0,0,20220403
20,202203,2호선,동대문역사문화공원(DDP),357,11,5485,1075,4231,7267,6149,20357,9278,43903,8707,27103,8895,22499,12138,22953,14191,22719,15221,22268,19364,22950,24878,20283,30395,18047,34970,18153,37609,19586,23556,19865,16705,12187,17122,9086,11693,7853,4457,7173,4,740,0,0,0,0,0,0,20220403
21,202203,2호선,뚝섬,5,0,2907,1613,7193,13080,16417,33102,22265,119808,14274,76066,12160,31914,12926,23034,15681,24665,18727,26722,21499,24188,26054,24898,33412,25815,54770,29017,108590,35848,52920,20481,33589,11477,30400,9480,21285,8996,7873,6722,3,207,0,0,0,0,0,0,20220403
22,202203,2호선,문래,0,0,3123,2388,10762,12657,36087,30748,40618,107118,21805,49224,16396,21139,16399,18591,18686,20358,20936,21982,20864,20471,22699,21155,30185,23870,51235,30008,92389,46752,32180,33078,21494,16788,21564,14667,17104,13782,7628,9514,4,351,0,0,0,0,0,0,20220403
23,202203,2호선,방배,2,1,2178,2453,7960,10045,19927,24833,27076,67613,21377,50614,16647,27691,17687,23555,21565,25347,23234,24111,24989,22264,28878,22417,35373,22089,43230,27640,63076,34316,28182,23566,19374,14212,18402,12959,15141,13947,5602,8627,5,67,1,1,1,0,0,0,20220403
24,202203,2호선,봉천,42,0,13928,992,25181,6070,68792,11242,106542,24790,61298,17291,33213,16626,28427,16891,29889,19831,29914,22177,25385,23371,24859,32136,26717,35458,26680,46050,29948,77472,17289,64295,12605,38283,11649,35992,8808,33846,3079,22470,5,684,0,0,0,0,0,0,20220403
25,202203,2호선,사당,52,1,9838,3117,22193,24469,63492,38231,89598,56885,60944,43736,38195,36652,35291,37493,41762,40568,42126,41821,42874,41151,44606,50989,49788,63165,61337,90103,80033,132068,51322,90262,41909,52839,45944,48351,46580,48551,21698,35461,22,2506,0,1,0,0,0,0,20220403
26,202203,2호선,삼성(무역센터),147,1,4185,4762,6152,34583,13249,110590,18071,271374,17707,188801,19219,77526,27404,56992,34249,53822,44097,61587,53818,50518,69911,44018,87294,41169,159388,43381,239230,46149,119530,26114,89813,13910,76106,11430,53552,9411,14458,6163,2,3744,0,1,0,0,0,0,20220403
27,202203,2호선,상왕십리,54,2,4954,517,11362,4331,34099,10788,54449,32591,29322,16556,18323,11953,15386,10610,17767,12833,17190,13647,15893,14855,16050,17304,17733,20526,21848,28032,24921,45337,16435,30506,11014,18917,8978,18230,6056,16453,2170,12333,4,125,0,0,0,0,0,0,20220403
28,202203,2호선,서울대입구(관악구청),4136,9,25272,2043,37667,12140,109621,27550,157170,65814,101493,58270,56360,52042,52132,43441,59316,47208,61785,52467,56410,53515,60529,58236,67951,67939,77529,96191,83971,158780,51027,127247,42529,72572,44525,66937,43043,68610,17678,44743,4,13635,0,0,0,0,0,0,20220403
29,202203,2호선,서초,24,0,1285,4319,7144,17331,14228,42231,21457,100821,21696,77286,16318,31258,21278,22297,20566,18386,25566,21580,26779,20153,31961,17615,37770,17942,61901,18231,86275,19829,35529,13172,22459,8207,22960,8110,15363,8247,4694,4975,3,30,1,2,0,0,0,0,20220403
30,202203,2호선,선릉,56,3,3260,5752,9113,33702,17429,95885,27231,243807,25408,182066,28274,81289,35611,53099,43366,48502,51260,54436,60330,46024,78348,40889,101140,38821,153171,44091,248048,47499,120457,27648,74302,16580,71890,14692,63708,13438,21353,9665,7,483,0,0,0,0,0,0,20220403
31,202203,2호선,성수,37,0,4757,3759,7755,28376,20619,70159,27215,242201,20406,129971,18229,47006,20316,36536,23546,38239,28042,42637,32321,41061,38972,39277,51466,41484,98724,44804,207597,52053,93464,29521,58035,14921,53361,11779,41208,11660,15411,11865,9,4396,0,2,0,0,0,0,20220403
32,202203,2호선,시청,42,0,867,1338,1589,14301,4425,53247,6335,174165,7792,66827,10079,21310,15111,17661,14784,18186,18217,18483,23665,16433,28377,14013,33378,11526,68064,13596,138238,13871,45067,7529,31467,4320,29198,3330,17787,2864,5850,2390,3,261,1,0,0,0,0,0,20220403
33,202203,2호선,신답,7,0,931,64,1706,403,5457,840,9183,1586,4107,941,2016,1142,1690,1130,1938,1269,1791,1332,1668,1705,1551,2383,1590,3150,1860,3908,1913,8678,932,5925,457,2766,431,3027,347,2489,104,2013,0,37,0,0,0,0,0,0,20220403
34,202203,2호선,신당,27,1,5034,1155,9822,7784,23320,16609,38508,31329,22316,20539,15535,15825,15261,16257,17331,17339,18826,18179,18420,18894,20079,19747,23196,23105,26469,28715,29497,39901,19400,26297,14469,15907,12954,14712,10550,14039,4588,10445,3,284,0,0,1,1,0,0,20220403
35,202203,2호선,신대방,78,0,23106,1499,32077,8094,79154,17987,118783,28054,69973,18581,37431,16044,30824,16714,31501,19767,30746,23030,26547,24823,25823,34261,28198,40346,31651,55992,35545,87576,20083,75235,14119,48223,10851,49235,8750,46567,3603,31255,2,127,1,0,0,0,0,0,20220403
